#,Simulation_Time,Trains_Running,Total_Trains,Task-clock/msec,context-switches,cpu-migrations,page-faults,cycles,instructions per cycle,branches,branch-misses,time_elapsed
1,30,"10, 10, 10",30,115.703403,4791,1282,139,131229297,35998666,7479134,250920,0.021105063
2,30,"11, 11, 11",33,131.771629,5149,1400,141,145021912,38983781,8089546,271425,0.024400559
3,30,"12, 12, 12",36,144.812461,6218,1671,151,168744007,45777849,9513964,323244,0.034721339
4,30,"13, 13, 13",39,153.002879,6593,1600,156,178051134,48599111,10087258,334030,0.029511899
5,30,"14, 14, 14",42,172.38703,6971,1732,163,191484895,51546530,10694346,356481,0.033124907
6,30,"15, 15, 15",45,176.666691,7724,2107,170,212798317,56880393,11807496,396129,0.039581264
7,30,"16, 16, 16",48,194.460301,8060,2101,175,218290247,59505559,12338394,402653,0.032332205
8,30,"17, 17, 17",51,214.851425,8781,2180,182,236931323,64068519,13297624,435904,0.04193148
9,30,"18, 18, 18",54,207.506879,9483,2614,189,257064039,69060728,14337048,476865,0.049276671
10,30,"19, 19, 19",57,236.600114,9802,2522,196,263277085,71472889,14830151,485988,0.039932588
11,30,"20, 20, 20",60,246.69496,10543,2544,201,279665687,76036401,15783953,515509,0.046555506
12,30,"21, 21, 21",63,247.347612,11148,3215,209,297909487,81181135,16852970,555206,0.055592931
13,30,"20, 20, 24",64,259.430133,11226,2975,212,297958051,80926212,16799686,543616,0.044772828
14,70,"10, 10, 10",30,263.619481,11068,2868,135,294588285,79826651,16609274,545219,0.04511651
15,70,"11, 11, 11",33,292.410915,12611,3357,143,344723061,90767353,18882402,630407,0.06392041
16,70,"12, 12, 12",36,320.290689,13817,3354,150,364815507,98788902,20552607,651740,0.052723189
17,70,"13, 13, 13",39,332.255539,15386,3594,157,398027391,109509226,22799048,729123,0.071533082
18,70,"14, 14, 14",42,352.375473,16778,4126,164,436437844,119228297,24817459,812772,0.070726656
19,70,"15, 15, 15",45,414.090868,17661,4401,170,461522346,126154649,26219628,855216,0.085390386
20,70,"16, 16, 16",48,413.224102,19459,4853,177,507106020,137727521,28668237,915980,0.078415101
21,70,"17, 17, 17",51,433.494654,20589,5633,183,530109583,145881435,30343910,990283,0.088273974
22,70,"18, 18, 18",54,483.869001,21578,5118,187,556705578,151789454,31556732,1010808,0.077107443
23,70,"19, 19, 19",57,514.640119,23291,6119,196,611519216,163773268,34068557,1112426,0.108979647
24,70,"20, 20, 20",60,559.106193,24518,6184,203,641820109,172687063,35912137,1203316,0.114200817
25,70,"21, 21, 21",63,587.037259,25666,6697,208,686401249,182572123,37917012,1243361,0.132701744
26,70,"20, 20, 24",64,561.267877,25932,6562,211,683950575,181276286,37688886,1206418,0.095586809
27,150,"10, 10, 10",30,549.366535,23420,5998,138,638314588,166507815,34652403,1113945,0.097364731
28,150,"11, 11, 11",33,599.819385,27139,6386,145,715742248,190670023,39704200,1256732,0.119520316
29,150,"12, 12, 12",36,660.629499,29550,7266,152,770733451,208087715,43317855,1402197,0.126121895
30,150,"13, 13, 13",39,681.792297,32025,8117,156,838229195,225442329,46894749,1498580,0.116851969
31,150,"14, 14, 14",42,776.767704,34914,8867,162,932821335,244861625,50930779,1646749,0.14466104
32,150,"15, 15, 15",45,846.318187,37748,9781,169,999550441,264906115,55095638,1779933,0.160266896
33,150,"16, 16, 16",48,842.48176,41228,11773,176,1054386331,289085202,60149820,1925311,0.157612059
34,150,"17, 17, 17",51,915.120857,43511,11188,184,1150293910,302807573,63006463,2028041,0.174451624
35,150,"18, 18, 18",54,949.108885,46112,11912,189,1235451339,322001494,66964565,2155789,0.17747033
36,150,"19, 19, 19",57,979.061934,48867,12562,196,1297821790,340072745,70735658,2280094,0.18091987
37,150,"20, 20, 20",60,1113.272004,51815,13172,202,1368333085,361112976,75083169,2412787,0.215876858
38,150,"21, 21, 21",63,1119.50177,54464,14014,210,1440093968,378654905,78755129,2518524,0.195641845
39,150,"20, 20, 24",64,1106.217227,55005,13838,213,1462939381,381269513,79286113,2516810,0.189670394
40,300,"10, 10, 10",30,1062.199014,46685,11553,137,1254950835,329049408,68483737,2179774,0.187931422
41,300,"11, 11, 11",33,1135.648558,52372,13697,141,1425360718,368094995,76578944,2442024,0.201612833
42,300,"12, 12, 12",36,1228.475897,57987,14775,148,1550505008,405813269,84431593,2683321,0.213062303
43,300,"13, 13, 13",39,1423.864055,64409,16668,156,1700261452,450497823,93712322,2993214,0.256110679
44,300,"14, 14, 14",42,1448.138188,69904,18330,164,1820839521,487301894,101377902,3208828,0.250599984
45,300,"15, 15, 15",45,1665.996147,75607,19900,168,1991759893,528081650,109812724,3526337,0.332975409
46,300,"16, 16, 16",48,1765.054781,81332,21261,175,2141561643,566466634,117799203,3779006,0.327456284
47,300,"17, 17, 17",51,1899.634659,86776,22370,181,2275280294,603205394,125460282,4016005,0.354159576
48,300,"18, 18, 18",54,1975.977808,92769,24355,189,2434733599,643422661,133805746,4281226,0.371022767
49,300,"19, 19, 19",57,2060.75693,97601,24435,196,2590491276,675996328,140588429,4495551,0.382631799
50,300,"20, 20, 20",60,2171.209301,104275,27925,200,2675222100,722828958,150332288,4795948,0.403701422
51,300,"21, 21, 21",63,2354.913339,109055,27913,210,2843199993,754856353,156984155,5002038,0.435864689
52,300,"20, 20, 24",64,2082.285778,109155,27214,211,2919187854,753018199,156609155,4918866,0.339773165
